,Title,Years,CAGR,Min. Amount,Risk,Free?,Description,Links,Manager
100,Wealth Compounder ,2,22.95,200000,High Volatility,False,Multiply wealth by investing in natural compounders of earnings that produce above-average returns,/smallcase/wealth-compounder-by-piper-serica-PSRMO_0003, Piper Serica
101,Omni SuperStox – SuperNormal FlexiCaps,2,30.64,250000,Med. Volatility,False,A SuperNormal portfolio of Capital Multipliers – Grow with India Inc.,/smallcase/omni-superstox-supernormal-multicaps-OMNMO_0001, Omniscience Capital
102,Static Allocation,2,22.35,2481,Low Volatility,False,A passive investing strategy that invests 60% in equities and 40% in fixed income.,/smallcase/static-allocation-FBCET_0001, Flameback Capital
103,Omni DX - Digital Transformation,2,44.36,287704,High Volatility,False,"Fast growing Multi-Trillion-Dollar, Multi-Decadal theme providing Global diversification",/smallcase/omni-dx-digital-transformation-OMNNM_0001, Omniscience Capital
104,Top 10 Insider Trading,1,34.65,8769,High Volatility,False,Top 10 Insider Trading actively tracks Open Market Buying and Selling by Promoters,/smallcase/top-10-insider-trading-NOMNM_0003, Nooresh Merani
105,SABKA STAYVAN,1,-12.69,4409,High Volatility,False,"STAYVAN introduces (1st time in India), Upfront + Sip strategy for investing directly in stocks. ",/smallcase/multibaggers'-portfolio-SYVMO_0005, Stayvan
106,Omni Royals - SuperNormal LargeCap SIP,2,34.61,16172,Med. Volatility,False,SIP portfolio of dominant leaders capitalizing on large growth from ‘India Transformed 2030’,/smallcase/omni-royals-supernormal-largecap-sip-OMNMO_0002, Omniscience Capital
107,BETA BLOCKBUSTER,2,33.29,31488,Med. Volatility,False,High-Quality Multi-Cap Companies ideal for new investors for long term investing.,/smallcase/beta-blockbuster-MGOMO_0005, Marketgoogly
108,Growth At Reasonable Price,1,29.96,31957,Med. Volatility,False,This strategy aims to invest in a basket of stocks across market cap at reasonable prices.,/smallcase/growth-at-reasonable-price-PREMO_0002, Prudent Equity
109,Craving Alpha Core | Value Investing,2,48.25,44102,High Volatility,False,Invest in special situation & high-quality stocks with margin of safety,/smallcase/craving-alpha-core-CRALMO_0003, Craving Alpha
110,Growth - Multi Factor Tactical [AUM Based],3,27.1,62416,Med. Volatility,False,"Stable out-performance in all markets, for the high risk investor. Rec Amt: > 1 lac",/smallcase/growth-multi-factor-tactical-WRTMO_0004, Wright Research
111,Omni Power - Electrifying India,2,18.8,5000,High Volatility,False,Portfolio of companies Empowering every Indian household,/smallcase/omni-power-electrifying-india-OMNNM_0004, Omniscience Capital
112,Best Ideas Basket,2,31.72,90705,High Volatility,False,High conviction ideas across market-cap/sectors to help create wealth through alpha and compounding,/smallcase/best-ideas-portfolio-YSEMO_0001, Yellowstone Equity
113,Underdogs too will shine,1,41.48,22253,Med. Volatility,False,Capturing Alpha from Non-Belief to Dis-belief - Rec Amt 4-5L,/smallcase/underdogs-too-will-shine-AMBANM_0001, Ambareesh Baliga
114,Gulaq Gear 5,2,42.04,40000,Med. Volatility,False,"Growth oriented portfolio suited for Moderate to Agressive investors (80% Equity, 20% Debt ETF) ",/smallcase/estee-long-alpha-lite-(gear-3)-ESTMO_0002, Estee
115,21G Long Term Wealth Creation,2,42.36,184156,Med. Volatility,False,"""Stocks that live to tell their story"" in the long-term period are strategically picked!",/smallcase/21g-long-term-wealth-creation-TGIMO_0003, 21G Investments 
116,Abakkus Smart FlexiCap ,1,5.29,500000,Low Volatility,False,Predominantly within Top 250 companies with select smaller companies to generate alpha,/smallcase/abakkus-smart-flexi-cap-portfolio-ABKMO_0002, Abakkus Investment Advisors
117,Wright 🌱 Smallcaps  [AUM based pricing],1,19.86,43252,High Volatility,False,"Choice smallcaps to participate in the high growth smallcap rally
 Rec Amt: 1-10 lac",/smallcase/wright-smallcaps-aum-based-pricing-WRTMO_0009, Wright Research
118,Omni Super Dividend - High Income Portfolio,2,13.32,10000,Low Volatility,False,A portfolio of SuperNormal companies with SuperNormal Dividend Yields,/smallcase/omni-super-dividend-OMNMO_0005, Omniscience Capital
119,FtM - Momentum India,1,30.17,29657,Med. Volatility,False,Harness the power of AI to invest in a momentum portfolio with high predictive accuracy,/smallcase/momentum-investing-BWEMO_0003, InvestorAi
120,Candor Investing - Wealth Compounders,1,45.93,6714,High Volatility,False,We invest in a basket of 8-10 businesses that have a high growth potential.,/smallcase/candor-investing-wealth-compunders-UNVMO_0003, Candor Investing
121,21G Dark Horse,2,27.76,74304,Med. Volatility,False,"""Stocks we stalk that takes the weather"" and generate appreciable returns are listed here.",/smallcase/21g-dark-horse-TGIMO_0004, 21G Investments 
122,Wright 🤖 ETFs,1,1.09,2133,Low Volatility,False,"This is a dynamic medium-risk portfolio that allocates to equity, bonds, gold and international ETFs",/smallcase/tactical-etfs-WRTET_0001, Wright Research
123,Gulaq Wealth,2,56.9,250000,High Volatility,False,Well diversified portfolio for Aggressive investors (100% Equity) appropriate for portfolios >2.5L  ,/smallcase/estee-long-alpha-lite-(gear-4)-ESTMO_0004, Estee
124,TQ Champ Multicap,1,42.48,82881,High Volatility,False,Non-Discretionary strategy to identify high momentum stocks from Nifty500 universe,/smallcase/tq_champ-TUQAMO_0002, TurtleQuants
125,Passivee Wealthemoji,1,15.69,1183,Med. Volatility,False,Passivee Wealthemoji is a long-term investment strategy for creating wealth in long run.     ,/smallcase/passive-wealthemoji-WEEMET_0001, Wealthemoji LLP
126,AarnA Take-off,2,44.19,35059,Med. Volatility,False,AarnA Take-off invests in potential multi-baggers with strong fundamentals.,/smallcase/aarna-take-off-AAWENM_0001, Aarna Wealth
127,MULTI ASSETS,1,24.59,99311,Med. Volatility,False,Invest in Stocks + ETFs + Gold + Liquid + Others. The real MULTI ASSETS recommendations.,/smallcase/multi-assets-portfolio-SYVMO_0006, Stayvan
128,Mi30,1,11.83,239744,Low Volatility,False,30 stock Momentum portfolio from CNX500 universe. Recommended size 10-25L. ,/smallcase/mi30-WKIMO_0010, Weekend Investing
129,The Rising Superstars,2,33.73,45477,Med. Volatility,False,Multicap portfolio comprising of mid and small caps that are likely to graduate into largecaps,/smallcase/the-middle-class-businessmen-TEQNM_0001, Tequity Investing
130,NIFTY PROBABLES,1,22.01,24885,Low Volatility,False,Collection of Companies which have potential to enter into Nifty50 Index in the next 5-10 years.,/smallcase/nifty-probables-PVRAMO_0002, PVR Advisory
131,Happy Hours: Cheers to Good Times,1,35.39,50352,High Volatility,False,"An intelligent selection of potential beneficiaries of a rebound in leisure, travel & entertainment",/smallcase/happy-hours:-cheers-to-good-times-EHANM_0011, Ethical Advisers
132,Handpicked PSU Gems,2,25.99,84500,High Volatility,False,"Dominant, highly profitable and deeply undervalued PSUs",/smallcase/handpicked-psu-gems-EHAMO_0003, Ethical Advisers
133,MULTICAP WONDERS ,2,33.5,39141,Med. Volatility,False,"Companies experiencing growth with positive momentum.
",/smallcase/multicap-wonders-MGOMO_0001, Marketgoogly
134,Shariah - Mid Cap,1,27.21,183395,Med. Volatility,False,20 Mid Cap shariah-compliant stocks from 14 segments approved by contemporary Shariah scholars.,/smallcase/shariah-mid-cap-SNGMO_0004, SenSage
135,Wealth Maximizer,1,18.52,74011,Low Volatility,False,"Curated portfolio for age profile <35, invstmt horizon min 5-8yrs. High Risk High Return.",/smallcase/wealth-maximizer-MRGMO_0001, MRG Capital
136,Wright 💎 Quality [AUM Based],1,6.56,56881,Low Volatility,False,"High quality stocks - based on profitability, growth in profitability and safety.  Rec Amt > 1 lac",/smallcase/quality-minus-junk-WRTMO_0010, Wright Research
137,smartvalues - basic,1,5.19,27871,Low Volatility,False,"A smallcase of 4 momentum stocks equally weighted and selected from Nifty  50 index constituents. 
",/smallcase/bestreturns-basic-LMRMO_0001, Lamron Analysts
138,Dolphin,2,35.0,352054,Med. Volatility,False,"Dolphin is based on MarketSmith India's flagship screen of leading growth stocks, 'Growth50'.",/smallcase/dolphin-ALGMO_0003, Algosmith
139,AarnA Safe,2,17.93,2570,Med. Volatility,False,"AarnA Safe is a well diversified, Long-term ETF based portfolio.",/smallcase/aarna-safe-AAWEET_0001, Aarna Wealth
140,Omni Bullet Train,2,17.42,100000,High Volatility,False,"High speed rail corridors, Regional rapid transit & Metro networks are putting India on a fast track",/smallcase/omni-bullet-train-OMNMO_0006, Omniscience Capital
141,Zen Small & Mid Select,2,33.48,50000,Low Volatility,False,Up to 10 Select Stocks List having Upside Momentum Small Mid cap Portfolio. Per Stock allocation 10%,/smallcase/smallcap-strategy-10-SWERMO_0004, Zen Capital Equity Research
142,Guardian - Multi Cap,1,0.52,85393,Med. Volatility,False,"Objective:
1) Maximise your returns >15%
2) Minimise tax by reducing churn

over long term period",/smallcase/guardian-multi-cap-GCIAMO_0001, Gaurdian Capital
143,Quantamental - Q30,2,35.54,68944,High Volatility,False,"Quantitative Relative Momentum. 
Universe: NSE 750.  
Rebalanced monthly.",/smallcase/quantamental-q30-INSMO_0003, Intelsense
144,CAPITAL COMPOUNDERS,2,23.38,36407,Low Volatility,False,This smallcase has the potential to compound your investment wealth over long period of time.,/smallcase/capital-compunders-SYVMO_0004, Stayvan
145,VALUE DEALS,1,26.68,11281,High Volatility,False,Collection of Few Undervalued Companies that are Fundamentally Very Strong.,/smallcase/value-deals-PVRAMO_0003, PVR Advisory
